2, Sweet, Tasting, Tomato
8, Circular, Strong, Tomato
5, Surprise, Asian, Sweet
7, Meat, Salty, Surprise
5, Sweet, Salty, Asian
8, Spicy, Tasting, Tomato
7, Seasoned, Spicy, Italian
10, Surprise, Salty, Tomato
10, Tomato, Consistent, AmericanFood
7, Consistent, Refined, Spicy
10, Strong, Aroma, Spicy
10, Fish, Consistent, Spicy
8, Refined, Tasting, Sweet
5, Refined, Consistent, Aroma
10, Seasoned, Light, Surprise
7, Fish, Salty, Sweet
8, Sweet, Seasoned, Consistent
6, Refined, Seasoned, Sweet
9, Surprise, Aroma, Italian
7, Fish, Consistent, Spicy
5, Light, Meat, Italian
7, Sweet, Tasting, Aroma
8, Surprise, Spicy, Refined
7, Circular, Light, Soft
7, Spicy, Salty, Circular
6, Light, Italian, Circular
5, Salty, Refined, Italian
7, Tomato, Strong, Spicy
7, Salty, Spicy, Surprise
7, Tasting, Seasoned, Sweet
6, Surprise, Spicy, Refined
8, Refined, Spicy, Tomato
9, Fish, AmericanFood, Circular
8, Sweet, Surprise, Asian
10, Tomato, Spicy, Surprise
5, Strong, Spicy, Sweet
9, Surprise, Aroma, Meat
8, Surprise, Spicy, Salty
7, Spicy, Salty, Pepper
8, Seasoned, Light, Asian
7, Consistent, Italian, Asian
7, Salty, Consistent, Italian
8, Light, Consistent, Seasoned
7, Tasting, Meat, Asian
7, Circular, Salty, Aroma
7, Tomato, Spicy, Asian
9, Circular, Spicy, Sweet
5, Spicy, Fish, Circular
6, Light, Asian, Strong
8, Sweet, Circular, Spicy
10, Asian, Spicy, Tasting
8, Spicy, Strong, Asian
10, Surprise, Asian, Consistent
5, Refined, Fish, Salty
10, Fish, Refined, Tasting
5, Circular, Light, Aroma
8, Refined, AmericanFood, Asian
5, Spicy, Italian, Salty
10, Surprise, Tasting, Fish
6, Surprise, Spicy, Sweet
8, Savory, Tasting, Surprise
6, Fish, Circular, Flavor
7, Spicy, Meat, Tomato
7, Aroma, Asian, Seasoned
9, Strong, Consistent, Tomato
9, Fish, Consistent, Spicy
6, Sweet, Circular, Spicy
9, Spicy, Asian, Surprise
8, Tasting, Italian, Meat
5, Strong, Meat, Sweet
9, Seasoned, Fish, Meat
9, Tasting, Sweet, Circular
9, Hot, Spicy, Tomato
5, Refined, Circular, Strong
9, Surprise, Seasoned, Sweet
7, Consistent, Sweet, Salty
7, Seasoned, Meat, Tasting
5, Tasting, Salty, Strong
6, Italian, Circular, Surprise
9, Consistent, Salty, Aroma
6, Salty, Fish, Flavor
5, Refined, Light, Tasting
5, Salty, Asian, Spicy
5, Refined, Italian, Spicy
5, Surprise, Strong, Sweet
6, Light, Meat, Asian
5, Italian, Refined, Asian
8, Surprise, Consistent, Spicy
8, Surprise, Meat, Tomato
5, Sweet, Surprise, Light
7, Fish, Refined, Surprise
6, Sweet, Seasoned, Tasting
9, Spicy, Circular, Tasting
6, Aroma, Light, Seasoned
7, Seasoned, Light, Surprise
9, Circular, Light, Sweet
8, Asian, Spicy, Tasting
8, Light, Tasting, AmericanFood
6, Sweet, Tomato, Strong
7, Seasoned, Tasting, Sweet
9, Light, Italian, Strong
5, Meat, Consistent, Salty
8, Consistent, Surprise, Circular
9, Light, Circular, Seasoned
6, Strong, Circular, Fish
5, Consistent, Tasting, Spicy
9, Consistent, Salty, Light
9, Flavor, Meat, Tomato
7, Fish, Salted, Circular
6, Meat, Strong, Asian
10, Sweet, Meat, Spicy
5, Seasoned, Aroma, Light
10, Sweet, Tomato, Seasoned
7, Italian, Spicy, Seasoned
9, Circular, Salty, Consistent
9, Circular, Tomato, Refined
8, Surprise, Spicy, Tasting
5, Light, Asian, Sweet
8, Light, Asian, Salty
5, Fish, Strong, Surprise
6, Spicy, Surprise, Aroma
7, Sweet, Spicy, Spicy
10, Spicy, Circular, Refined
6, Tasting, Circular, Strong
10, Strong, Spicy, Seasoned
7, Surprise, Sweet, Salty
10, Italian, Tasting, Fish
5, Fish, Sweet, Strong
7, Spicy, Light, Sweet
5, Sweet, Seasoned, Spicy
5, Refined, Sweet, AmericanFood
7, Consistent, Italian, Meat
9, Strong, Fish, Circular
5, Aroma, Seasoned, Surprise
8, Seasoned, Light, Refined
5, Aroma, Italian, Tasting
9, Tomato, Spicy, Strong
10, Asian, Surprise, AmericanFood
8, Italian, Asian, Light
10, Strong, Refined, Light
9, Italian, Refined, Circular
8, Spicy, Fish, Flavor
6, Meat, Seasoned, Consistent
7, Strong, Spicy, Spicy
7, Salty, Circular, Refined
7, Italian, Light, Consistent
6, Aroma, Spicy, Spicy
9, Refined, Spicy, Meat
5, Spicy, Tomato, AmericanFood
5, Refined, Salty, Spicy
7, Meat, Refined, AmericanFood
8, Salty, Asian, Meat
9, Seasoned, Spicy, AmericanFood
10, Pungent, Spicy, Sweet
10, Spicy, Tasting, Salty
10, Spicy, Tasting, Strong
10, AmericanFood, Spicy, Flavor
8, Seasoned, Circular, Spicy
5, Light, Meat, Fish
6, Hot, Spicy, AmericanFood
9, Consistent, Light, Sweet
8, Strong, Spicy, Aroma
10, Spicy, Seasoned, Tomato
10, Tomato, Strong, Sweet
10, Circular, Asian, Sweet
9, Fish, Surprise, Tomato
9, AmericanFood, Consistent, Spicy
10, Sweet, Fish, Refined
5, Sweet, Spicy, Consistent
6, Sweet, Salty, Surprise
7, Consistent, Spicy, Light
9, Surprise, Light, Tomato
6, Strong, Light, Spicy
10, Italian, Salty, Tasting
10, Asian, Spicy, Italian
5, Spicy, Spicy, Meat
8, Italian, Strong, Light
6, Sweet, Spicy, Meat
6, Spicy, Sweet, AmericanFood
7, Strong, Surprise, Circular
8, Surprise, Meat, Salty
6, Seasoned, Spicy, Tasting
9, Meat, Salty, Flavor
8, Tomato, Italian, Spicy
5, Tasting, Circular, Seasoned
6, Spicy, Tomato, Seasoned
6, Spicy, Refined, Meat
10, Strong, Tomato, Asian
10, Spicy, Aroma, Refined
7, Sweet, Aroma, Tomato
10, Tasting, Salted, Seasoned
6, Fish, Circular, Flavor
9, Refined, Seasoned, Meat
5, Aroma, AmericanFood, Sweet
6, Consistent, Spicy, Tasting
10, Fish, Meat, Spicy
6, Fish, Aroma, Strong
9, Spicy, Light, Circular
6, Fish, Tomato, Tasting
9, Sweet, Strong, Spicy
8, Italian, Spicy, Meat
10, Tasting, Tomato, Sweet
5, Asian, Surprise, Refined
10, Meat, Spicy, Sweet
5, Circular, Strong, Consistent
5, Aroma, Refined, AmericanFood
7, Consistent, Circular, AmericanFood
9, Consistent, Spicy, Strong
8, AmericanFood, Surprise, Seasoned
9, Refined, Fish, Meat
5, Spicy, Italian, Asian
9, Tasting, Seasoned, Spicy
5, Circular, Fish, Sweet
8, Refined, Spicy, Salty
9, Tomato, Spicy, Flavor
8, Spicy, Fish, Spicy
5, Consistent, Salty, Sweet
5, Spicy, Meat, Sweet
6, Flavor, Tomato, Circular
10, Circular, Aroma, Seasoned
6, Surprise, Italian, Consistent
10, Light, Tomato, Circular
10, Aroma, Spicy, Fish
6, Fish, Seasoned, Spicy
10, Sweet, Meat, Strong
8, Pungent, Sweet, Light
8, Hot, Asian, Spicy
8, Salty, Fish, Seasoned
9, Salty, AmericanFood, Spicy
10, Asian, AmericanFood, Refined
7, Consistent, Salty, Aroma
6, Consistent, Tomato, Spicy
9, Light, Sweet, Asian
7, Circular, Sweet, Salty
6, AmericanFood, Tasting, Refined
10, Tomato, Salty, Italian
10, Spicy, Tomato, AmericanFood
10, Strong, Aroma, AmericanFood
6, Circular, Spicy, Seasoned
8, Spicy, AmericanFood, Surprise
7, Hot, Spicy, Circular
8, Aroma, Spicy, Spicy
6, Sweet, Asian, Sweet
9, AmericanFood, Tomato, Fish
5, Fish, Spicy, Strong
8, Aroma, Asian, Pungent
6, AmericanFood, Refined, Light
10, Tasting, Salty, Consistent
8, Consistent, Tasting, AmericanFood
10, Refined, Spicy, Aroma
10, AmericanFood, Spicy, Seasoned
10, Tomato, Salted, Consistent
5, Aroma, Salty, Strong
10, Aroma, Refined, Sweet
9, Salty, Seasoned, Circular
8, Spicy, Strong, Aroma
8, Aroma, Fish, Tasting
10, Strong, AmericanFood, Tomato
9, Spicy, Surprise, AmericanFood
8, Surprise, Tasting, Consistent
10, Surprise, Asian, Tomato
10, Salty, Consistent, Spicy
5, Spicy, Consistent, Aroma
7, Strong, Spicy, AmericanFood
7, Light, Spicy, Strong
9, Tomato, Sweet, Meat
5, Spicy, Consistent, Tasting
7, Consistent, Refined, Tasting
5, Refined, Consistent, Aroma
8, Italian, Consistent, Tomato
10, Aroma, Italian, Light
6, Sweet, Italian, Circular
8, Light, Asian, AmericanFood
10, Tomato, Asian, AmericanFood
5, Aroma, Strong, Refined
5,Consistant,AmericanFood,Italien
8, Italian, Strong, Light
6, Sweet, Spicy, Meat
6, Spicy, Sweet, AmericanFood
7, Strong, Surprise, Circular
8, Surprise, Meat, Salty
6, Seasoned, Spicy, Tasting
9, Meat, Salty, Flavor
8, Tomato, Italian, Spicy
5, Tasting, Circular, Seasoned
6, Spicy, Tomato, Seasoned
6, Spicy, Refined, Meat
10, Strong, Tomato, Asian
10, Spicy, Aroma, Refined
7, Sweet, Aroma, Tomato
10, Tasting, Salted, Seasoned
6, Fish, Circular, Aroma
9, Refined, Seasoned, Meat
5, Aroma, AmericanFood, Sweet
6, Consistent, Spicy, Tasting
10, Fish, Meat, Spicy
6, Fish, Aroma, Strong
9, Spicy, Light, Circular
6, Fish, Tomato, Tasting
9, Sweet, Strong, Spicy
8, Italian, Spicy, Meat
10, Tasting, Tomato, Sweet
5, Asian, Surprise, Refined
10, Meat, Spicy, Sweet
5, Circular, Strong, Consistent
5, Aroma, Refined, AmericanFood
7, Consistent, Circular, AmericanFood
9, Consistent, Spicy, Strong
8, AmericanFood, Surprise, Seasoned
9, Refined, Fish, Meat
5, Spicy, Italian, Asian
9, Tasting, Seasoned, Spicy
5, Circular, Fish, Sweet
8, Refined, Spicy, Salty
9, Tomato, Spicy, Flavor
8, Spicy, Fish, Spicy
5, Consistent, Salty, Sweet
5, Spicy, Meat, Sweet
6, Flavor, Tomato, Circular
10, Circular, Aroma, Seasoned
6, Surprise, Italian, Consistent
10, Light, Tomato, Circular
10, Aroma, Spicy, Fish
6, Fish, Seasoned, Spicy
10, Sweet, Meat, Strong
8, Pungent, Sweet, Light
8, Hot, Asian, Spicy
8, Salty, Fish, Seasoned
9, Salty, AmericanFood, Spicy
10, Asian, AmericanFood, Refined
7, Consistent, Salty, Aroma
6, Consistent, Tomato, Spicy
9, Light, Sweet, Asian
7, Circular, Sweet, Salty
6, AmericanFood, Tasting, Refined
10, Tomato, Salty, Italian
10, Spicy, Tomato, AmericanFood
10, Strong, Aroma, AmericanFood
6, Circular, Spicy, Seasoned
8, Spicy, AmericanFood, Surprise
7, Hot, Spicy, Circular
8, Aroma, Spicy, Spicy
6, Sweet, Asian, Sweet
9, AmericanFood, Tomato, Fish
5, Fish, Spicy, Strong
8, Aroma, Asian, Pungent
6, AmericanFood, Refined, Light
10, Tasting, Salty, Consistent
8, Consistent, Tasting, AmericanFood
10, Refined, Spicy, Aroma
10, AmericanFood, Spicy, Seasoned
10, Tomato, Salted, Consistent
5, Aroma, Salty, Strong
10, Aroma, Refined, Sweet
9, Salty, Seasoned, Circular
8, Spicy, Strong, Aroma
8, Aroma, Fish, Tasting
10, Strong, AmericanFood, Tomato
9, Spicy, Surprise, AmericanFood
8, Surprise, Tasting, Consistent
10, Surprise, Asian, Tomato
10, Salty, Consistent, Spicy
5, Spicy, Consistent, Aroma
7, Strong, Spicy, AmericanFood
7, Light, Spicy, Strong
9, Tomato, Sweet, Meat
5, Spicy, Consistent, Tasting
7, Consistent, Refined, Tasting
5, Refined, Consistent, Aroma
8, Italian, Consistent, Tomato
10, Aroma, Italian, Light
6, Sweet, Italian, Circular
8, Light, Asian, AmericanFood
10, Tomato, Asian, AmericanFood
5, Aroma, Strong, Refined
5, Consistent, AmericanFood, Italian
5, Sweet, Meat, Tomato
7, Circular, Light, Salty
10, Salty, AmericanFood, Strong
9, Refined, AmericanFood, Tasting
5, AmericanFood, Fish, Asian
10, Surprise, Aroma, Sweet
8, Refined, Spicy, Spicy
6, Tasting, Consistent, Surprise
6, Seasoned, Spicy, Light
6, Asian, Salty, Tasting
5, Light, Aroma, Asian
10, Tomato, Salted, Circular
6, Meat, Salty, Italian
5, AmericanFood, Sweet, Spicy
10, Light, Seasoned, Spicy
7, Meat, Consistent, Italian
9, Salty, Spicy, Asian
5, Tomato, Sweet, Meat
5, Light, Salty, Strong
6, Surprise, Sweet, Aroma
10, Fish, Surprise, Aroma
7, Fish, Meat, Italian
5, Salty, Sweet, Spicy
7, Tasting, Refined, Spicy
8, Sweet, Circular, Tasting
5, Italian, Spicy, Circular
6, Asian, Italian, Light
6, Seasoned, Consistent, Tasting
5, Fish, Refined, Surprise
6, Spicy, Surprise, Spicy
10, Surprise, Spicy, Fish
6, Consistent, Sweet, Refined
7, Surprise, Meat, Italian
9, Italian, Aroma, Tasting
5, Strong, Salty, Spicy
9, Salty, Sweet, Refined
9, Refined, Meat, Circular
7, AmericanFood, Refined, Meat
5, Aroma, Consistent, Refined
5, Flavor, Meat, Tomato
9, AmericanFood, Sweet, Tasting
10, Asian, Light, Sweet
5, Fish, AmericanFood, Sweet
5, Sweet, Surprise, Spicy
5, Salty, Flavor, Tomato
9, Seasoned, Salty, Tasting
6, Tasting, Sweet, Refined
5, Sweet, Meat, Tasting
9, Consistent, Strong, Aroma
9, Circular, Aroma, AmericanFood
10, Tomato, Sweet, Refined
6, Tasting, Surprise, Consistent
6, Spicy, Spicy, Aroma
9, Italian, Asian, Tasting
10, Seasoned, Surprise, Tomato
10, Seasoned, Spicy, Spicy
10, AmericanFood, Salty, Sweet
9, Italian, Sweet, Refined
9, Refined, Italian, Tomato
5, Tasting, Spicy, Consistent
5, Tasting, Sweet, Fish
6, Tasting, Refined, Consistent
10, Circular, Strong, AmericanFood
8, Refined, AmericanFood, Asian
7, Asian, Surprise, Tomato
9, Refined, Tomato, Strong
6, Light, Meat, Flavor
10, Sweet, Tasting, Spicy
9, Salty, Light, Spicy
5, AmericanFood, Refined, Sweet
7, Tasting, Fish, Seasoned
9, Asian, Meat, Flavor
6, Spicy, Salty, Italian
8, Seasoned, Spicy, Meat
7, Circular, Aroma, Fish
8, Light, Spicy, Asian
9, Italian, Light, Sweet
8, Tomato, Salty, Flavor
6, Refined, Tasting, Light
5, Strong, AmericanFood, Sweet
9, Spicy, AmericanFood, Asian
7, Fish, Asian, AmericanFood
5, Circular, Seasoned, Fish
5, Strong, Aroma, Asian
9, Consistent, Asian, Meat
10, Italian, Sweet, Refined
7, Fish, Light, Spicy
5, Consistent, AmericanFood, Surprise
7, Asian, Meat, Seasoned
8, Meat, Fish, Italian
6, Aroma, Consistent, Sweet
7, Fish, Spicy, Asian
10, Circular, Italian, Seasoned
5, Meat, Surprise, Sweet
8, Circular, Surprise, Tasting
8, Spicy, Sweet, Light
6, Refined, Salty, Seasoned
6, Salty, Spicy, Light
10, Sweet, Strong, Sweet
7, Fish, Spicy, Tasting
6, Tasting, Asian, Sweet
9, Circular, Tasting, Spicy
8, Italian, Circular, Strong
8, Salty, Tomato, Tasting
10, Aroma, Tasting, Spicy
5, Surprise, Strong, Salty
9, Italian, Seasoned, Spicy
5, Sweet, Circular, Italian
10, Italian, Tomato, Light
10, Spicy, Tasting, Refined
6, Spicy, Spicy, Salty
7, AmericanFood, Meat, Spicy
10, AmericanFood, Circular, Sweet
5, Circular, Savory, Tasting
6, Surprise, Circular, Salty
8, Strong, Light, Soft
9, Salty, Refined, Spicy
8, Salted, Tomato, Seasoned
5, Sweet, Spicy, Tomato
10, Soft, Circular, Strong
5, Spicy, Meat, Spicy
9, Seasoned, Consistent, Fish
10, Tomato, Asian, Surprise
7, Asian, Tomato, Circular
10, Surprise, Fish, Asian
8, Meat, Strong, Refined
8, Spicy, Refined, Tomato
9, Strong, Tasting, Sweet
6, Aroma, Spicy, Italian
9, Salty, Sweet, Tomato
8, Circular, Sweet, Strong
8, Spicy, Refined, Tomato
7, Sweet, Spicy, Consistent
8, Fish, AmericanFood, Spicy
6, Consistent, Fish, Sweet
5, Seasoned, Circular, Spicy
10, Asian, Spicy, Pungent
10, Fish, Spicy, Consistent
6, Fish, Italian, Spicy
5, Flyer, AmericanFood, Italian
10, Sweet, Italian, Salty
6, Strong, Spicy, Aroma
7, Spicy, Circular, Salty
9, Surprise, Circular, Italian
8, Light, Surprise, Meat
9, Seasoned, AmericanFood, Italian
6, Spicy, Sweet, Sweet
6, Tomato, Refined, Salted
9, AmericanFood, Refined, Tasting
5, Light, Circular, Spicy
6, Surprise, Refined, Aroma
9, Refined, Fish, Italian
7, Strong, Tasting, Meat
6, Tomato, Asian, Consistent
9, AmericanFood, Tasting, Light
10, Refined, Italian, Sweet
5, Refined, Fish, Surprise
7, Sweet, Circular, Sweet
5, Consistent, Tomato, Surprise
5, Italian, Spicy, Aroma
8, Flavor, Fish, Salty
10, Consistent, Spicy, Circular
5, Seasoned, Fish, Surprise
5, Seasoned, Tasting, Meat
9, Salty, Refined, AmericanFood
8, Hot, Spicy, Sweet
8, Surprise, Sweet, Italian
5, Light, Fish, Spicy
9, Consistent, Pungent, Sweet
9, Italian, Fish, Consistent
10, Sweet, Italian, Consistent
8, Aroma, Strong, Salty
10, Flavor, Meat, Circular
6, Spicy, Surprise, Sweet
10, Refined, Tasting, Light
7, Sweet, AmericanFood, Salty
8, Italian, Sweet, Tasting
8, Spicy, Asian, Salty
5, Spicy, Sweet, Fish
8, Meat, Light, Consistent
9, Sweet, Asian, Seasoned
6, Seasoned, Tomato, Spicy
10, Refined, Tomato, Fish
7, Consistent, Spicy, Aroma
5, Refined, Aroma, Fish
8, Fish, Sweet, Strong
9, Spicy, Tasting, Seasoned
10, Tasting, Consistent, Sweet
8, AmericanFood, Strong, Spicy
5, Italian, Strong, Light
6, Circular, Lightweight, Asian
9, Consistent, AmericanFood, Fish
7, Refined, Spicy, Spicy
7, Circular, Salty, Spicy
6, Surprise, Aroma, Spicy
5, Asian, Spicy, Aroma
8, Strong, Consistent, Italian
8, Asian, Surprise, Salty
10, Circular, Sweet, Strong
5, Salty, Sweet, Light
9, Spicy, AmericanFood, Seasoned
6, AmericanFood, Strong, Surprise
9, Asian, Refined, Meat
8, AmericanFood, Salty, Spicy
8, Salty, Meat, Sweet
6, Spicy, Sweet, Asian
8, Asian, Spicy, Tasting
9, Salty, Refined, AmericanFood
8, Spicy, Fish, Sweet
8, Consistent, Asian, Tasting
9, Meat, AmericanFood, Spicy
8, Light, Circular, Meat
8, Meat, Surprise, Fish
5, Tomato, Salty, Spicy
9, Spicy, Seasoned, Refined
5, Meat, Sweet, Italian
10, Tasting, Spicy, Sweet
10, Spicy, Surprise, Tasting
5, AmericanFood, Seasoned, Flavor
6, Surprise, Salty, Fish
9, Consistent, Fish, AmericanFood
8, Consistent, Fish, Spicy
9, Italian, Meat, Sweet
7, Refined, Aroma, Consistent
10, Sweet, Asian, Tasting
10, Tasting, Strong, Fish
6, Surprise, Aroma, Strong
7, Salty, Sweet, Surprise
5, Consistent, Tasting, Salty
8, Refined, Italian, Spicy
9, Consistent, Spicy, Fish
6, Spicy, AmericanFood, Sweet
9, Aroma, Consistent, Salty
10, Spicy, Surprise, Salty
6, Refined, Strong, Asian
9, Spicy, Sweet, Seasoned
9, Aroma, Spicy, Sweet
7, Sweet, Aroma, Surprise
5, AmericanFood, Surprise, Seasoned
8, Spicy, Circular, Italian
9, Tomato, Fish, Sweet
8, Tomato, Spicy, Salty
7, Seasoned, Strong, Surprise
10, Sweet, Spicy, Spicy
7, Spicy, Light, Asian
5, Consistent, Sweet, Salty
9, AmericanFood, Spicy, Meat
6, Sweet, Strong, Tomato
6, Consistent, Tomato, Salted
8, Spicy, Consistent, Asian
7, Light, Meat, Sweet
5, Tasting, Spicy, Fish
10, Tasting, AmericanFood, Salty
8, Refined, Circular, Salty
10, Spicy, Sweet, Refined
7, Spicy, Sweet, Refined
7, Spicy, Refined, Salty
10, Sweet, Spicy, Consistent
5, Fish, Seasoned, Sweet
6, Strong, Refined, Light
10, Refined, Fish, Light
7, Italian, Sweet, Sweet
10, Sweet, Strong, Salty
10, Refined, Spicy, Surprise
10, Circular, Strong, Light
10, Consistent, Spicy, Fish
7, Sweet, Circular, Aroma
5, Italian, Consistent, Tomato
8, Sweet, Sweet, Surprise
9, Italian, Light, Sweet
6, Asian, AmericanFood, Refined
6, Meat, Salty, Sweet
5, Aroma, Spicy, Tasting
5, Spicy, Surprise, Spicy
6, Italian, Aroma, Strong
9, Salty, Aroma, Asian
9, Refined, Fish, Light
5, Strong, Sweet, Spicy
9, Tomato, Salty, Asian
9, Salty, Fish, Strong
7, AmericanFood, Seasoned, Flavor
10, Italian, Surprise, Circular
10, Surprise, Light, Strong
5, Tasting, Sweet, Consistent
10, Strong, Salty, Light
8, AmericanFood, Sweet, Sweet
8, Flavor, Light, Tomato
7, Seasoned, Italian, Flavor
10, Seasoned, Asian, Meat
7, Salty, Sweet, Aroma
5, Salted, Tomato, Fish
7, Italian, Meat, Consistent
7, Fish, Meat, Sweet
5, Asian, Aroma, Refined
10, Sweet, Seasoned, Tomato
5, Pungent, Sweet, Aroma
8, Tomato, Fish, Seasoned
10, Sweet, Tasting, Salty
10, Sweet, Meat, Italian
5, Asian, Fish, Consistent
9, Sweet, Tasting, Sweet
8, Spicy, Spicy, Italian
10, Salty, Spicy, Strong
9, Tomato, Tasting, Circular
5, Spicy, Meat, Fish
10, Refined, Light, Asian
5, Light, Asian, Spicy
7, Fish, Seasoned, Flavor
6, Sweet, Tasting, Spicy
10, Spicy, Strong, Spicy
10, Flavor, Fish, AmericanFood
8, Asian, Surprise, Spicy
10, Tomato, Seasoned, Sweet
7, Circular, Refined, Consistent
8, Tasting, Spicy, Italian
6, Tasting, Refined, Surprise
10, Italian, Circular, Strong
6, Circular, Salty, Italian
8, Light, Spicy, Salty
8, Asian, Circular, Light
9, Spicy, Italian, Asian
7, Tomato, Seasoned, Salted
9, Spicy, Italian, Surprise
10, Asian, Italian, Spicy
10, Tomato, Strong, Meat
10, Spicy, Refined, Spicy
6, Italian, Fish, Tomato
8, Tasting, Surprise, Italian
6, Meat, Circular, Sweet
10, Italian, Consistent, Aroma
8, AmericanFood, Strong, Light
8, Asian, Spicy, Meat
8, Consistent, Tasting, Salty
5, Refined, Seasoned, Surprise
9, Spicy, Tomato, Seasoned
10, Asian, Spicy, Italian
10, Sweet, Spicy, Surprise
7, Fish, Refined, Sweet
10, Spicy, Tomato, Light
7, Surprise, Aroma, Salty
7, Italian, Flavor, Meat
6, Surprise, AmericanFood, Light
7, Tomato, Spicy, Circular
8, Meat, Spicy, Tasting
9, Spicy, Aroma, Spicy
8, Strong, Italian, Tomato
10, Seasoned, Italian, Salty
10, Surprise, Salty, Sweet
10, Aroma, Spicy, Seasoned
7, Spicy, Tasting, Light
10, Tasting, Spicy, Meat
9, Sweet, Spicy, Strong
6, Spicy, Italian, Salty
9, Consistent, Salty, Spicy
9, Meat, Italian, Asian
7, Tasting, Strong, AmericanFood
8, Spicy, Tasting, Fish
6, Meat, Surprise, Salty
8, Sweet, Italian, Strong
9, AmericanFood, Spicy, Salty
10, Strong, Sweet, Aroma
5, Spicy, Light, Spicy
10, Tomato, Fish, AmericanFood
8, Tasting, Light, Spicy
7, Light, Refined, AmericanFood
9, Strong, Light, Tomato
6, Salty, Seasoned, AmericanFood
6, Aroma, AmericanFood, Sweet
5, Circular, Spicy, Sweet
6, Sweet, Aroma, Pungent
6, Spicy, Surprise, Seasoned
9, Meat, Surprise, Salty
7, Asian, Tomato, Refined
10, Surprise, Aroma, Light
6, Spicy, Spicy, Sweet
8, Consistent, Spicy, Sweet
8, Asian, Tasting, Seasoned
7, Aroma, Tomato, Tasting
6, Asian, Surprise, Fish
6, Refined, Fish, Seasoned
10, Spicy, Surprise, Aroma
8, Italian, Tasting, Refined
8, Circular, Sweet, AmericanFood
7, Strong, Consistent, Seasoned
10, Surprise, Fish, Seasoned
7, Refined, Sweet, Italian
8, Spicy, Sweet, Aroma
8, Hot, Spicy, Meat
10, Salty, Meat, Light
7, Consistent, Refined, Light
8, Italian, Surprise, Sweet
5, Consistent, Spicy, Spicy
6, Strong, Spicy, Sweet
6, Spicy, AmericanFood, Tasting
7, Light, Asian, Consistent
10, Soft, Consistent, Italian
9, Sweet, Tomato, Italian
9, Spicy, Tasting, Light
5, Spicy, Flavor, Fish
7, Fish, Italian, Flavor
9, Asian, Tasting, Tomato
7, Spicy, Tomato, Asian
8, AmericanFood, Meat, Tasting
10, Asian, Light, Aroma
8, Circular, Tomato, Consistent
5, Spicy, Aroma, Asian
10, Spicy, Fish, Tomato
8, Circular, Spicy, Tomato
9, Meat, Italian, Seasoned
8, Italian, Meat, Tasting
9, Asian, Aroma, Spicy
10, Italian, Fish, Asian
8, Tasting, Consistent, Circular
8, Tomato, Italian, Salty
8, Refined, Light, Seasoned
7, Meat, Surprise, Asian
7, Consistent, Salty, Light
9, Spicy, Sweet, Spicy
7, Salty, Flavor, Tomato
10, Tasting, Sweet, AmericanFood
6, Sweet, Asian, Salty
5, Tomato, Consistent, Circular
7, Circular, Surprise, Strong
6, Salty, Spicy, Italian
5, Circular, Pungent, Sweet
9, Sweet, Fish, Consistent
10, Circular, Strong, Soft
7, Consistent, Tomato, Italian
6, Refined, Sweet, Light
5, Tasting, Light, Meat
7, Sweet, Strong, Salty
6, Consistent, Fish, Sweet
6, Fish, Consistent, Asian
5, Light, Soft, Refined
6, Meat, Surprise, Italian
10, Hot, Spicy, Meat
9, Meat, Refined, Spicy
6, Asian, Light, Fish
8, Meat, Surprise, Spicy
6, Refined, Sweet, Circular
5, Tomato, Strong, Seasoned
10, Spicy, Refined, Tomato
8, Strong, Italian, Soft
6, Strong, Seasoned, Salty
10, Strong, Tomato, Seasoned
7, Refined, Sweet, Spicy
7, Seasoned, Circular, Strong
10, Seasoned, Tomato, Salted
9, Meat, Salty, Strong
5, Sweet, Consistent, Fish
9, Light, Refined, Salty
8, Italian, Spicy, Spicy
10, Light, Spicy, Italian
5, Spicy, Tomato, Aroma
8, Fish, Spicy, Circular
9, Consistent, Tasting, Surprise
10, Surprise, Tomato, Light
9, Refined, Consistent, Spicy
9, Aroma, Light, Spicy
7, Aroma, Spicy, Sweet
7, Tasting, Sweet, Meat
6, Aroma, AmericanFood, Sweet
9, Italian, Spicy, Consistent
9, Consistent, Spicy, Seasoned
5, Sweet, Aroma, Circular
10, Sweet, Spicy, Surprise
7, Light, AmericanFood, Salty
8, Seasoned, Spicy, Sweet
5, Salty, Asian, Spicy
9, Spicy, Spicy, AmericanFood
10, Tasting, Refined, Surprise
10, Spicy, Spicy, Surprise
8, Sweet, Spicy, Asian
10, Circular, Italian, AmericanFood
5, Strong, Consistent, Circular
7, Refined, Spicy, Tomato
10, Sweet, Asian, Spicy
8, AmericanFood, Tasting, Consistent
5, Circular, Salty, Refined
7, Strong, Aroma, Asian
8, Surprise, Circular, Seasoned
10, Italian, Refined, Aroma
7, Seasoned, Consistent, Spicy
7, Circular, Seasoned, Tomato
6, AmericanFood, Spicy, Circular
10, Tomato, Strong, Refined
9, Flavor, AmericanFood, Italian
5, Strong, Surprise, Consistent
7, Light, Strong, Seasoned
8, Seasoned, Sweet, Salty
7, Consistent, Sweet, Surprise
5, Italian, Light, Salty
10, Asian, AmericanFood, Italian
10, Spicy, Tomato, Strong
5, Meat, Circular, Refined
9, Surprise, Italian, Aroma
5, Sweet, Strong, AmericanFood
5, Circular, Sweet, Refined
8, Light, Italian, Sweet
8, Refined, Surprise, Tasting
7, Italian, Asian, Sweet
